CrimeDate,Total Incidents
2012-03-17,163.0
2012-03-18,143.0
2012-03-19,155.0
2012-03-20,178.0
2012-03-21,148.0
2012-03-22,136.0
2012-03-23,152.0
2012-03-24,140.0
2012-03-25,135.0
2012-03-26,166.0
2012-03-27,154.0
2012-03-28,137.0
2012-03-29,147.0
2012-03-30,135.0
2012-03-31,139.0
2012-04-01,118.0
2012-04-02,120.0
2012-04-03,124.0
2012-04-04,119.0
2012-04-05,138.0
2012-04-06,127.0
2012-04-07,113.0
2012-04-08,105.0
2012-04-09,159.0
2012-04-10,124.0
2012-04-11,116.0
2012-04-12,110.0
2012-04-13,138.0
2012-04-14,145.0
2012-04-15,131.0
2012-04-16,125.0
2012-04-17,164.0
2012-04-18,168.0
2012-04-19,160.0
2012-04-20,166.0
2012-04-21,113.0
2012-04-22,117.0
2012-04-23,125.0
2012-04-24,126.0
2012-04-25,150.0
2012-04-26,123.0
2012-04-27,158.0
2012-04-28,138.0
2012-04-29,126.0
2012-04-30,133.0
2012-05-01,181.0
2012-05-02,138.0
2012-05-03,136.0
2012-05-04,126.0
2012-05-05,149.0
2012-05-06,153.0
2012-05-07,159.0
2012-05-08,150.0
2012-05-09,125.0
2012-05-10,126.0
2012-05-11,139.0
2012-05-12,149.0
2012-05-13,158.0
2012-05-14,145.0
2012-05-15,170.0
2012-05-16,138.0
2012-05-17,159.0
2012-05-18,152.0
2012-05-19,160.0
2012-05-20,154.0
2012-05-21,132.0
2012-05-22,151.0
2012-05-23,163.0
2012-05-24,164.0
2012-05-25,163.0
2012-05-26,154.0
2012-05-27,141.0
2012-05-28,150.0
2012-05-29,147.0
2012-05-30,142.0
2012-05-31,174.0
2012-06-01,156.0
2012-06-02,135.0
2012-06-03,123.0
2012-06-04,132.0
2012-06-05,130.0
2012-06-06,136.0
2012-06-07,139.0
2012-06-08,155.0
2012-06-09,131.0
2012-06-10,136.0
2012-06-11,163.0
2012-06-12,119.0
2012-06-13,152.0
2012-06-14,143.0
2012-06-15,144.0
2012-06-16,156.0
2012-06-17,120.0
2012-06-18,141.0
2012-06-19,125.0
2012-06-20,152.0
2012-06-21,167.0
2012-06-22,172.0
2012-06-23,135.0
2012-06-24,148.0
2012-06-25,136.0
2012-06-26,158.0
2012-06-27,162.0
2012-06-28,152.0
2012-06-29,141.0
2012-06-30,137.0
2012-07-01,156.0
2012-07-02,124.0
2012-07-03,163.0
2012-07-04,145.0
2012-07-05,123.0
2012-07-06,136.0
2012-07-07,144.0
2012-07-08,141.0
2012-07-09,113.0
2012-07-10,153.0
2012-07-11,133.0
2012-07-12,132.0
